Gender,Dependent_Count,Marital_Status,Card_Category,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Amt_Chng_Q4_Q1,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Attrition_Flag
F,2,Single,Blue,5,2,4,0.788,61,0.605,Existing Customer
F,3,Married,Silver,6,2,2,0.821,63,0.703,Existing Customer
M,1,Married,Blue,6,3,4,0.555,48,0.714,Existing Customer
F,4,Married,Blue,5,3,2,0.718,88,0.796,Existing Customer
M,4,Married,Blue,5,2,2,0.619,79,0.717,Existing Customer
M,5,Married,Blue,4,2,4,0.813,64,0.641,Existing Customer
M,3,Married,Blue,4,3,3,0.814,69,0.816,Existing Customer
F,4,Married,Blue,6,3,1,0.378,71,0.543,Existing Customer
M,0,Single,Blue,5,3,2,0.81,60,0.622,Existing Customer
F,1,Single,Blue,4,1,3,0.561,58,1.071,Existing Customer
M,2,Single,Blue,4,3,3,0.711,78,0.529,Existing Customer
F,0,Divorced,Blue,3,2,4,0.751,56,0.806,Existing Customer
F,5,Single,Blue,3,1,3,0.899,76,0.551,Existing Customer
M,3,Single,Blue,6,3,1,0.957,70,0.591,Existing Customer
M,4,Single,Blue,5,2,0,0.688,74,0.805,Existing Customer
M,3,Unknown,Blue,3,1,4,0.711,39,0.857,Existing Customer
F,1,Married,Blue,4,2,2,0.886,65,1.097,Existing Customer
F,1,Married,Blue,6,4,1,0.771,50,1.381,Existing Customer
F,4,Single,Blue,3,1,4,1.008,71,0.821,Existing Customer
F,3,Married,Blue,6,3,3,0.951,58,0.758,Existing Customer
F,2,Married,Blue,3,4,3,0.434,62,0.632,Existing Customer
M,4,Married,Blue,3,1,2,0.666,62,0.824,Existing Customer
M,0,Single,Blue,6,4,1,0.371,72,0.636,Existing Customer
M,4,Married,Blue,6,3,0,0.571,44,0.419,Existing Customer
F,0,Single,Blue,6,2,1,0.516,69,0.605,Existing Customer
F,3,Single,Blue,5,3,3,1.04,55,0.719,Existing Customer
F,3,Single,Silver,6,3,2,0.823,68,0.619,Existing Customer
M,2,Single,Blue,1,2,4,0.602,49,0.633,Attrited Customer
F,1,Single,Blue,3,3,1,0.757,65,0.625,Existing Customer
F,2,Single,Blue,4,3,4,0.739,45,0.452,Attrited Customer
M,3,Married,Blue,6,2,4,0.799,75,0.63,Existing Customer
F,3,Married,Blue,1,2,4,0.504,46,0.643,Attrited Customer
F,4,Married,Blue,5,3,2,1.194,79,0.612,Existing Customer
M,0,Unknown,Blue,6,4,4,0.798,69,0.725,Existing Customer
M,2,Divorced,Blue,6,1,1,0.84,85,0.889,Existing Customer
M,4,Divorced,Blue,3,2,2,0.681,81,0.8,Existing Customer
F,0,Unknown,Blue,4,1,1,0.838,61,0.649,Existing Customer
M,5,Single,Blue,3,4,4,1.193,68,0.7,Existing Customer
M,1,Unknown,Blue,4,2,2,0.724,76,0.617,Existing Customer
F,2,Single,Blue,3,4,4,0.713,43,1.048,Existing Customer
M,3,Single,Blue,5,3,4,0.768,88,0.66,Existing Customer
F,2,Married,Blue,5,2,3,1.485,58,1,Existing Customer
M,3,Married,Blue,2,3,4,0.615,56,0.697,Attrited Customer
F,2,Unknown,Blue,4,4,3,0.639,33,0.32,Attrited Customer
F,1,Married,Blue,6,4,4,1,68,0.7,Existing Customer
F,2,Single,Blue,6,2,3,0.783,75,0.596,Existing Customer
M,0,Married,Blue,4,3,3,0.555,66,0.737,Existing Customer
F,3,Married,Blue,2,3,3,0.544,41,0.464,Attrited Customer
F,2,Single,Blue,4,4,4,0.888,76,0.9,Existing Customer
F,5,Married,Blue,6,2,4,0.847,66,0.692,Existing Customer
F,1,Single,Blue,5,2,1,0.663,73,0.553,Existing Customer
F,3,Unknown,Blue,4,2,1,0.958,77,0.604,Existing Customer
F,3,Unknown,Blue,4,4,2,0.936,80,0.667,Existing Customer
F,4,Married,Blue,2,3,2,0.406,42,0.5,Attrited Customer
M,2,Married,Blue,6,3,4,0.962,73,0.738,Existing Customer
M,2,Married,Blue,4,1,2,0.68,67,0.718,Existing Customer
F,2,Single,Blue,4,1,2,0.763,78,0.5,Existing Customer
F,4,Single,Blue,4,2,3,0.699,71,0.543,Existing Customer
F,1,Single,Blue,6,4,4,0.565,66,0.65,Existing Customer
M,3,Single,Blue,4,2,3,0.785,76,0.81,Existing Customer
F,1,Married,Blue,3,2,2,0.415,37,0.321,Attrited Customer
F,3,Married,Blue,3,1,4,0.515,74,0.644,Existing Customer
M,1,Single,Blue,4,3,3,0.735,79,0.837,Existing Customer
F,4,Single,Blue,4,4,2,0.738,66,1,Existing Customer
M,3,Married,Blue,4,2,3,0.793,66,0.941,Existing Customer
M,1,Unknown,Blue,5,3,2,0.959,55,0.833,Existing Customer
F,3,Single,Silver,3,2,2,0.632,58,0.758,Existing Customer
M,3,Married,Blue,6,2,2,0.806,66,0.571,Existing Customer
F,4,Married,Blue,6,4,1,0.703,68,0.447,Existing Customer
M,1,Single,Blue,5,3,2,0.801,67,0.811,Existing Customer
M,4,Single,Blue,6,3,3,0.881,69,0.683,Existing Customer
F,3,Married,Blue,4,1,4,1.063,62,0.771,Existing Customer
M,3,Married,Blue,3,4,1,0.821,56,1.24,Existing Customer
F,1,Divorced,Blue,3,5,3,0.74,46,0.438,Attrited Customer
M,1,Divorced,Blue,3,4,3,0.639,39,0.56,Attrited Customer
F,0,Married,Blue,5,2,2,1.039,92,0.769,Existing Customer
M,3,Divorced,Blue,4,3,4,0.779,73,0.825,Existing Customer
F,4,Divorced,Blue,4,3,1,1.293,76,0.767,Existing Customer
F,0,Married,Silver,3,0,3,0.761,41,0.577,Attrited Customer
F,3,Married,Blue,6,2,2,0.705,72,0.756,Existing Customer
F,0,Single,Blue,3,2,1,0.576,65,0.548,Existing Customer
F,4,Unknown,Blue,3,3,3,0.803,68,0.659,Existing Customer
F,2,Single,Blue,4,1,4,0.582,65,0.585,Existing Customer
M,2,Married,Blue,4,4,4,0.681,90,0.636,Existing Customer
M,3,Married,Blue,3,1,4,0.789,69,0.683,Existing Customer
M,2,Single,Blue,5,3,0,0.871,62,0.632,Existing Customer
M,4,Divorced,Blue,5,1,4,0.455,69,0.643,Existing Customer
M,1,Single,Silver,5,4,4,0.797,81,0.688,Existing Customer
M,4,Married,Blue,3,4,3,0.324,44,0.375,Attrited Customer
F,2,Married,Blue,5,2,3,0.725,73,0.587,Existing Customer
F,3,Married,Blue,3,3,2,0.502,28,0.556,Attrited Customer
M,3,Single,Blue,6,2,4,1.034,76,0.9,Existing Customer
M,1,Single,Blue,2,3,4,0.685,41,0.414,Attrited Customer
M,4,Unknown,Blue,4,2,3,0.811,47,0.567,Existing Customer
M,1,Single,Blue,3,4,3,0.674,40,0.429,Attrited Customer
M,3,Married,Blue,3,1,2,1.41,61,0.649,Existing Customer
F,1,Single,Blue,5,2,3,0.778,71,0.511,Existing Customer
F,2,Single,Blue,6,2,3,0.736,43,0.536,Attrited Customer
F,1,Single,Blue,4,1,2,0.857,63,1.032,Existing Customer
F,4,Single,Blue,6,3,2,0.824,70,0.591,Existing Customer
M,3,Single,Blue,5,3,3,0.659,83,0.596,Existing Customer
F,2,Single,Blue,2,2,3,0.777,48,0.714,Attrited Customer
F,4,Unknown,Blue,3,3,4,0.56,75,0.744,Existing Customer
M,3,Single,Blue,5,4,3,0.671,76,0.767,Existing Customer
M,2,Single,Blue,5,2,4,1.09,75,0.923,Existing Customer
F,2,Unknown,Blue,6,2,3,0.892,81,0.761,Existing Customer
F,3,Single,Blue,6,6,3,0.574,69,0.683,Existing Customer
M,3,Single,Blue,3,1,3,0.651,69,0.5,Existing Customer
F,3,Married,Blue,6,6,4,0.889,80,0.702,Existing Customer
M,2,Married,Blue,3,4,3,0.726,71,0.578,Existing Customer
F,2,Married,Blue,3,3,2,0.749,68,0.619,Existing Customer
F,2,Married,Blue,5,2,2,0.613,77,0.571,Existing Customer
F,5,Married,Blue,3,3,3,0.75,84,0.615,Existing Customer
F,4,Married,Blue,6,3,2,0.607,77,0.54,Existing Customer
F,4,Unknown,Blue,6,1,3,0.864,70,0.522,Existing Customer
M,3,Married,Blue,3,3,2,0.567,91,0.717,Existing Customer
F,2,Divorced,Blue,3,2,4,0.678,69,0.605,Existing Customer
F,3,Married,Blue,3,3,4,0.62,78,0.625,Existing Customer
F,1,Single,Blue,5,4,4,0.804,74,0.644,Existing Customer
M,1,Married,Blue,4,3,3,0.888,69,0.816,Existing Customer
M,4,Single,Blue,4,4,3,1.199,80,0.739,Existing Customer
M,2,Married,Blue,1,2,5,0.569,42,0.556,Attrited Customer
M,4,Married,Blue,3,2,3,0.685,83,1.024,Existing Customer
M,2,Single,Blue,4,3,0,0.681,74,0.574,Existing Customer
F,4,Single,Blue,3,4,2,0.625,81,0.588,Existing Customer
F,4,Single,Blue,4,3,4,0.934,70,0.75,Existing Customer
M,4,Single,Blue,3,2,6,0.575,35,0.4,Attrited Customer
F,4,Single,Gold,5,1,2,0.81,77,0.604,Existing Customer
M,1,Divorced,Silver,2,3,2,0.529,36,0.385,Attrited Customer
M,3,Divorced,Blue,6,1,3,0.873,79,0.58,Existing Customer
F,3,Divorced,Blue,3,3,4,0.563,65,0.711,Existing Customer
F,3,Divorced,Blue,3,4,3,0.598,76,0.617,Existing Customer
M,4,Married,Blue,5,2,3,0.467,41,0.323,Attrited Customer
M,4,Divorced,Blue,4,2,3,0.73,60,0.667,Existing Customer
M,1,Single,Blue,6,4,4,0.761,76,0.854,Existing Customer
M,3,Single,Blue,3,3,2,0.647,70,0.458,Existing Customer
F,3,Single,Blue,3,2,2,0.85,44,0.467,Attrited Customer
F,3,Married,Blue,5,4,2,1.036,64,0.829,Existing Customer
M,3,Married,Blue,4,4,4,0.572,67,0.675,Existing Customer
M,4,Married,Blue,6,1,2,0.774,84,0.68,Existing Customer
M,2,Married,Blue,4,4,4,0.459,71,0.69,Existing Customer
F,2,Married,Blue,3,2,3,0.6,54,0.588,Existing Customer
M,1,Divorced,Blue,3,2,2,0.748,78,0.773,Existing Customer
F,4,Single,Silver,3,2,3,0.411,30,0.25,Attrited Customer
F,2,Single,Blue,4,3,2,0.776,88,0.63,Existing Customer
F,3,Married,Blue,4,2,4,0.815,83,0.766,Existing Customer
F,2,Single,Blue,4,3,4,0.917,71,1.088,Existing Customer
F,1,Married,Blue,6,4,3,0.912,54,0.688,Existing Customer
M,3,Married,Blue,3,1,3,0.767,85,0.771,Existing Customer
F,3,Married,Blue,6,3,3,0.688,58,0.706,Existing Customer
F,3,Divorced,Blue,6,4,3,0.756,82,0.864,Existing Customer
F,0,Single,Blue,6,2,4,0.93,76,0.727,Existing Customer
M,1,Single,Blue,4,2,3,0.631,62,0.676,Existing Customer
F,1,Married,Blue,5,1,2,0.698,67,0.718,Existing Customer
F,1,Unknown,Blue,4,2,1,0.583,65,0.711,Existing Customer
M,3,Married,Blue,3,3,4,0.393,37,0.233,Attrited Customer
F,4,Married,Silver,3,1,0,0.569,35,0.458,Existing Customer
F,0,Married,Blue,3,3,3,0.842,74,0.542,Existing Customer
F,1,Married,Blue,3,3,4,0.798,70,0.556,Existing Customer
M,2,Single,Silver,2,3,2,0.602,36,0.8,Attrited Customer
M,5,Married,Blue,4,1,2,0.77,64,0.641,Existing Customer
F,4,Married,Silver,6,3,0,0.735,62,0.938,Existing Customer
M,3,Married,Blue,4,1,3,0.908,56,1,Existing Customer
M,3,Single,Blue,4,3,3,0.9,62,0.824,Existing Customer
F,2,Single,Blue,2,1,2,0.656,69,0.917,Existing Customer
M,2,Divorced,Blue,4,2,4,0.376,48,0.455,Attrited Customer
M,5,Single,Blue,4,3,0,0.753,89,0.648,Existing Customer
M,4,Single,Blue,4,2,2,0.792,79,0.795,Existing Customer
F,4,Single,Blue,2,2,2,0.579,36,0.385,Attrited Customer
M,4,Unknown,Blue,6,1,2,0.65,60,0.395,Existing Customer
F,2,Married,Blue,6,6,0,0.745,70,0.75,Existing Customer
M,0,Single,Blue,3,3,4,0.664,53,0.472,Existing Customer
M,4,Single,Blue,3,4,4,0.777,31,0.55,Attrited Customer
F,2,Unknown,Blue,6,2,2,0.68,69,0.725,Existing Customer
M,4,Married,Blue,1,4,3,0.55,47,0.424,Attrited Customer
F,1,Single,Blue,3,2,4,0.294,41,0.242,Attrited Customer
M,1,Single,Blue,3,3,2,0.563,66,0.571,Existing Customer
M,2,Married,Blue,3,1,3,0.732,66,0.65,Existing Customer
M,3,Single,Blue,3,2,0,0.644,69,0.769,Existing Customer
F,2,Single,Blue,6,1,4,0.919,69,0.683,Existing Customer
M,2,Married,Blue,5,2,1,0.635,70,0.628,Existing Customer
F,0,Divorced,Blue,3,3,3,0.915,89,0.935,Existing Customer
M,2,Single,Blue,3,1,4,0.596,58,0.871,Existing Customer
F,3,Single,Blue,3,3,3,0.382,40,0.333,Attrited Customer
M,4,Married,Blue,3,2,0,0.928,64,0.684,Existing Customer
M,3,Single,Blue,3,1,2,0.673,84,0.647,Existing Customer
M,3,Single,Blue,3,3,4,0.524,85,0.491,Existing Customer
M,0,Single,Blue,5,1,3,0.659,65,0.548,Existing Customer
M,3,Married,Blue,3,3,3,0.47,53,1.038,Attrited Customer
F,2,Married,Blue,6,2,3,0.966,52,0.733,Existing Customer
F,3,Single,Blue,4,3,2,0.703,65,0.711,Existing Customer
M,3,Unknown,Blue,6,2,4,1.117,69,0.865,Existing Customer
M,3,Divorced,Blue,4,2,2,0.505,68,0.511,Existing Customer
M,3,Single,Blue,3,3,2,0.763,82,0.673,Existing Customer
M,1,Single,Blue,5,2,4,0.712,76,0.52,Existing Customer
M,3,Single,Blue,5,2,0,0.894,72,0.532,Existing Customer
F,4,Married,Blue,4,1,4,0.975,82,0.952,Existing Customer
F,1,Single,Blue,6,3,2,0.834,75,0.786,Existing Customer
F,4,Married,Blue,3,2,3,0.781,82,1.05,Existing Customer
F,3,Divorced,Blue,5,1,4,0.649,72,0.674,Existing Customer
M,3,Divorced,Blue,6,3,2,0.68,75,0.471,Existing Customer
F,0,Single,Silver,3,4,3,0.8,39,0.773,Attrited Customer
M,3,Married,Blue,6,2,3,0.766,40,0.481,Attrited Customer
M,0,Single,Blue,4,2,4,0.722,60,0.818,Existing Customer
F,0,Divorced,Blue,5,2,3,0.808,70,1,Existing Customer
M,3,Married,Blue,5,1,2,0.628,93,0.661,Existing Customer
F,2,Married,Blue,3,1,4,0.565,30,0.579,Attrited Customer
F,2,Single,Blue,5,2,2,0.805,77,0.791,Existing Customer
F,3,Married,Blue,6,3,2,0.781,79,0.717,Existing Customer
F,1,Married,Blue,4,2,1,0.662,72,0.6,Existing Customer
F,0,Married,Blue,4,2,2,0.744,78,0.733,Existing Customer
F,2,Single,Blue,2,3,0,0.889,45,0.406,Attrited Customer
F,2,Unknown,Blue,3,2,2,0.634,46,0.643,Existing Customer
F,3,Unknown,Blue,6,1,4,0.572,55,0.964,Existing Customer
F,1,Single,Blue,6,3,4,0.903,89,0.745,Existing Customer
F,4,Married,Blue,4,1,4,0.71,80,0.6,Existing Customer
M,3,Married,Blue,3,3,2,0.724,72,0.5,Existing Customer
F,5,Single,Blue,5,1,2,0.613,86,0.483,Existing Customer
F,2,Single,Blue,5,2,2,1.222,70,0.429,Existing Customer
M,2,Single,Blue,3,1,3,0.807,72,1.118,Existing Customer
M,1,Married,Silver,4,3,2,0.698,65,0.512,Existing Customer
M,3,Single,Blue,1,2,4,0.586,40,0.29,Attrited Customer
F,0,Single,Blue,5,3,2,0.821,73,0.587,Existing Customer
F,0,Single,Blue,3,4,4,1.048,49,0.485,Attrited Customer
M,3,Single,Blue,3,2,2,1.111,58,1.522,Existing Customer
M,2,Single,Blue,2,3,2,0.451,40,0.6,Attrited Customer
M,4,Single,Blue,4,3,3,0.66,30,0.5,Existing Customer
M,4,Married,Blue,3,2,3,0.479,69,0.643,Existing Customer
F,3,Single,Blue,3,1,1,0.588,61,0.906,Existing Customer
F,0,Single,Blue,6,1,1,0.816,94,0.843,Existing Customer
F,4,Married,Blue,6,3,4,0.744,76,0.767,Existing Customer
M,3,Single,Blue,4,2,3,0.683,54,0.8,Existing Customer
F,3,Single,Blue,3,1,3,0.733,75,0.63,Existing Customer
F,2,Single,Blue,4,1,1,0.649,82,0.907,Existing Customer
F,4,Divorced,Blue,5,2,4,0.547,77,0.604,Existing Customer
F,2,Married,Blue,4,3,0,1.017,73,0.872,Existing Customer
F,3,Married,Blue,4,3,2,0.924,32,0.684,Existing Customer
F,0,Married,Blue,4,2,1,0.906,67,0.914,Existing Customer
F,1,Married,Blue,5,3,2,0.608,82,0.708,Existing Customer
M,2,Married,Blue,5,2,2,0.744,61,0.694,Existing Customer
M,1,Single,Blue,6,1,1,0.797,68,0.545,Existing Customer
M,5,Married,Blue,3,3,1,0.699,46,0.394,Attrited Customer
M,2,Unknown,Blue,5,3,3,0.545,72,0.674,Existing Customer
F,0,Married,Blue,5,3,1,0.824,90,0.765,Existing Customer
F,1,Single,Blue,3,1,0,0.462,67,0.675,Existing Customer
M,3,Single,Blue,5,2,3,0.872,73,0.78,Existing Customer
M,1,Single,Blue,6,3,4,0.665,45,0.324,Existing Customer
M,3,Unknown,Blue,3,3,3,0.858,81,0.761,Existing Customer
F,2,Unknown,Blue,4,1,3,0.838,78,0.529,Existing Customer
M,3,Married,Silver,6,3,2,0.521,71,0.775,Existing Customer
F,4,Married,Blue,5,1,2,0.754,67,0.675,Existing Customer
F,1,Single,Blue,4,2,2,0.983,64,0.829,Existing Customer
F,2,Married,Blue,3,1,2,0.842,77,0.833,Existing Customer
F,1,Single,Blue,6,1,3,0.77,71,0.651,Existing Customer
F,2,Married,Blue,1,3,1,0.613,42,0.312,Attrited Customer
F,4,Married,Blue,3,3,3,0.346,38,0.407,Attrited Customer
F,2,Married,Blue,3,2,1,0.228,30,0.111,Attrited Customer
M,3,Single,Blue,4,1,2,1.031,66,1.2,Existing Customer
M,4,Single,Blue,4,2,3,0.801,66,0.886,Existing Customer
M,2,Single,Blue,4,2,2,1.32,77,0.974,Existing Customer
M,1,Single,Blue,4,3,3,0.812,69,0.533,Existing Customer
M,4,Married,Blue,4,2,2,0.926,72,1,Existing Customer
F,1,Married,Blue,6,1,2,1.032,72,0.674,Existing Customer
M,1,Unknown,Blue,3,1,3,0.954,70,0.667,Existing Customer
F,3,Married,Blue,5,2,2,1.01,68,0.447,Existing Customer
M,3,Married,Blue,6,2,4,0.749,74,0.644,Existing Customer
M,0,Single,Blue,3,3,3,0.644,75,1.027,Existing Customer
F,3,Married,Blue,4,1,4,0.754,83,0.596,Existing Customer
F,2,Single,Blue,4,2,3,0.806,83,0.627,Existing Customer
M,4,Unknown,Blue,5,3,0,0.79,82,0.864,Existing Customer
F,4,Married,Blue,5,2,3,0.908,81,0.884,Existing Customer
M,2,Married,Blue,1,2,4,0.841,37,0.85,Attrited Customer
M,1,Single,Blue,6,2,2,0.711,70,0.628,Existing Customer
M,4,Married,Blue,4,2,2,0.633,67,0.558,Existing Customer
M,3,Married,Blue,3,2,3,0.805,77,0.604,Existing Customer
M,5,Married,Blue,4,3,0,0.631,70,0.75,Existing Customer
F,0,Married,Blue,4,2,2,1.05,73,0.521,Existing Customer
F,3,Single,Blue,6,1,3,0.966,60,1.069,Existing Customer
F,2,Single,Blue,4,2,4,1.301,57,0.966,Existing Customer
M,5,Married,Blue,3,1,3,1.028,65,0.711,Existing Customer
M,5,Single,Blue,3,4,4,0.482,23,0.211,Attrited Customer
M,4,Single,Blue,5,1,3,0.872,75,0.744,Existing Customer
F,3,Married,Blue,1,3,4,0.443,44,0.375,Attrited Customer
M,1,Single,Silver,4,3,3,0.684,73,0.78,Existing Customer
M,4,Unknown,Blue,3,2,2,0.703,64,1.783,Existing Customer
M,1,Single,Silver,3,2,2,0.992,48,0.412,Attrited Customer
F,2,Single,Blue,6,1,3,0.581,68,0.581,Existing Customer
M,2,Married,Blue,4,3,3,0.667,69,0.769,Existing Customer
F,3,Single,Blue,6,3,2,0.689,43,0.433,Attrited Customer
F,2,Single,Blue,2,3,2,0.618,32,0.778,Attrited Customer
F,2,Married,Blue,3,3,3,0.959,71,0.775,Existing Customer
F,3,Single,Blue,5,3,4,0.275,38,0.31,Attrited Customer
M,2,Married,Blue,6,3,4,0.866,71,0.775,Existing Customer
F,4,Unknown,Blue,5,4,2,0.652,66,0.737,Existing Customer
M,3,Single,Blue,3,4,2,0.781,84,0.787,Existing Customer
F,2,Married,Blue,5,2,4,0.757,78,0.625,Existing Customer
F,1,Divorced,Blue,5,3,3,0.69,74,0.51,Existing Customer
F,4,Married,Blue,6,3,2,0.563,77,0.604,Existing Customer
F,3,Married,Blue,3,4,2,0.479,38,0.31,Attrited Customer
M,4,Married,Blue,5,1,2,0.852,65,0.625,Existing Customer
M,0,Married,Blue,4,1,3,0.938,70,0.842,Existing Customer
F,2,Married,Blue,3,2,3,0.442,37,0.48,Attrited Customer
M,2,Married,Blue,6,1,3,0.559,77,0.674,Existing Customer
M,2,Single,Blue,6,3,4,0.943,66,0.571,Existing Customer
M,2,Single,Blue,6,2,2,0.477,63,0.537,Existing Customer
F,1,Married,Blue,4,1,3,0.807,76,0.81,Existing Customer
M,2,Unknown,Blue,6,2,3,0.863,81,0.528,Existing Customer
M,2,Single,Blue,3,2,2,0.507,84,0.68,Existing Customer
M,2,Married,Blue,5,1,4,0.655,63,0.703,Existing Customer
M,3,Divorced,Blue,4,1,0,0.705,62,0.55,Existing Customer
M,1,Single,Blue,3,3,1,0.551,38,0.9,Existing Customer
M,4,Single,Blue,3,1,1,1.003,59,1.36,Existing Customer
F,3,Single,Blue,5,3,4,0.586,80,0.818,Existing Customer
M,2,Unknown,Blue,3,1,1,0.757,81,0.62,Existing Customer
M,1,Divorced,Silver,3,1,1,0.814,51,0.594,Existing Customer
F,1,Married,Blue,2,2,3,0.563,40,0.379,Attrited Customer
F,4,Divorced,Blue,5,3,2,0.855,69,0.816,Existing Customer
M,3,Single,Silver,3,2,4,0.502,20,0.333,Existing Customer
M,3,Married,Blue,3,2,1,0.844,78,0.814,Existing Customer
M,4,Married,Blue,3,1,3,0.744,88,0.66,Existing Customer
F,1,Married,Blue,5,3,4,0.593,69,0.533,Existing Customer
M,4,Married,Blue,3,2,3,0.461,66,0.61,Existing Customer
M,3,Unknown,Blue,2,4,4,0.018,28,0.077,Attrited Customer
M,1,Single,Blue,6,2,4,0.716,43,0.593,Attrited Customer
F,2,Divorced,Blue,5,1,4,0.667,64,0.882,Existing Customer
M,4,Married,Blue,3,2,2,0.654,70,0.75,Existing Customer
M,4,Single,Blue,3,2,4,0.745,62,0.824,Existing Customer
F,3,Single,Blue,3,2,6,0.597,48,0.548,Attrited Customer
F,3,Married,Blue,4,3,0,0.671,63,0.8,Existing Customer
F,4,Married,Blue,5,2,3,0.931,77,1.026,Existing Customer
F,4,Single,Blue,2,2,3,0.752,33,0.375,Attrited Customer
M,1,Unknown,Blue,3,3,4,0.938,66,0.571,Existing Customer
M,4,Married,Blue,4,1,3,0.532,51,0.5,Attrited Customer
F,2,Divorced,Blue,3,1,4,0.341,35,0.4,Attrited Customer
F,2,Divorced,Blue,4,2,2,0.751,46,0.643,Attrited Customer
M,3,Single,Blue,6,2,2,0.524,74,0.542,Existing Customer
M,4,Divorced,Blue,6,1,3,0.507,47,0.516,Attrited Customer
M,3,Married,Blue,6,3,2,0.729,87,0.851,Existing Customer
M,0,Single,Blue,6,1,4,0.807,85,0.667,Existing Customer
F,3,Married,Blue,5,2,1,0.638,85,0.635,Existing Customer
F,1,Single,Blue,2,4,3,0.493,45,0.607,Attrited Customer
F,3,Unknown,Blue,6,3,1,0.962,69,0.683,Existing Customer
M,2,Married,Blue,5,2,4,0.559,42,0.909,Existing Customer
M,1,Single,Blue,6,2,1,0.682,72,0.532,Existing Customer
F,4,Single,Blue,3,3,4,0.793,69,0.5,Existing Customer
F,4,Single,Blue,5,3,3,0.702,41,0.367,Attrited Customer
M,1,Single,Blue,5,2,2,0.725,69,0.725,Existing Customer
M,2,Single,Blue,5,1,2,0.77,83,0.886,Existing Customer
F,3,Married,Blue,6,1,3,0.674,78,0.773,Existing Customer
F,5,Single,Blue,3,2,4,0.652,69,0.725,Existing Customer
M,1,Single,Blue,6,2,3,1.051,72,0.8,Existing Customer
M,2,Single,Blue,6,3,2,0.684,65,0.667,Existing Customer
F,4,Married,Blue,5,3,2,0.781,85,0.635,Existing Customer
F,4,Married,Blue,4,1,3,0.963,63,0.658,Existing Customer
F,2,Married,Blue,3,1,3,0.934,68,0.545,Existing Customer
M,3,Married,Blue,2,2,3,0.857,37,0.542,Attrited Customer
F,3,Single,Blue,4,3,1,0.816,88,0.76,Existing Customer
F,1,Divorced,Blue,5,2,2,0.875,59,0.735,Existing Customer
M,1,Single,Blue,4,1,4,0.626,60,0.765,Existing Customer
M,3,Married,Blue,6,3,0,0.861,55,0.833,Existing Customer
F,1,Single,Blue,3,3,2,0.907,61,0.649,Existing Customer
F,3,Single,Blue,4,2,4,0.733,72,0.674,Existing Customer
F,3,Single,Blue,3,0,3,0.429,38,0.267,Attrited Customer
M,4,Married,Blue,4,2,4,0.612,79,0.646,Existing Customer
M,4,Married,Blue,3,1,3,0.67,81,0.929,Existing Customer
F,0,Divorced,Blue,3,1,1,0.811,75,0.5,Existing Customer
M,4,Married,Blue,5,1,2,0.912,52,0.733,Existing Customer
F,2,Single,Blue,5,3,4,0.626,72,0.565,Existing Customer
M,3,Single,Blue,4,1,3,0.658,91,0.569,Existing Customer
F,3,Married,Blue,5,3,3,1.061,60,0.765,Existing Customer
M,3,Single,Blue,4,2,3,0.875,84,0.75,Existing Customer
M,3,Single,Blue,6,3,3,0.519,51,0.821,Attrited Customer
F,4,Single,Blue,3,2,1,1.109,77,0.604,Existing Customer
M,4,Married,Blue,5,3,2,0.627,74,0.85,Existing Customer
F,2,Married,Blue,3,1,2,1.1,63,0.853,Existing Customer
M,2,Single,Blue,2,2,2,0.605,39,0.393,Attrited Customer
F,2,Unknown,Blue,6,2,3,0.722,67,0.763,Existing Customer
F,2,Unknown,Blue,3,3,4,0.683,69,0.865,Existing Customer
M,2,Married,Blue,4,3,1,0.469,82,0.519,Existing Customer
F,1,Unknown,Blue,3,1,3,0.709,65,0.548,Existing Customer
M,2,Married,Silver,5,4,2,0.807,46,0.438,Existing Customer
F,2,Married,Blue,3,2,2,0.692,63,0.658,Existing Customer
M,3,Married,Blue,4,3,4,0.44,64,0.684,Existing Customer
F,3,Divorced,Blue,3,2,1,0.421,82,0.491,Existing Customer
F,1,Single,Blue,2,3,4,0.331,45,0.25,Attrited Customer
F,3,Single,Blue,5,3,0,0.815,86,0.72,Existing Customer
F,1,Single,Blue,3,3,0,1.012,73,0.622,Existing Customer
M,3,Single,Silver,2,3,1,0.71,49,0.885,Attrited Customer
M,2,Married,Blue,3,3,4,0.705,74,0.762,Existing Customer
F,0,Married,Blue,5,1,4,0.896,63,0.909,Existing Customer
F,1,Unknown,Blue,6,2,0,0.745,88,0.725,Existing Customer
F,2,Divorced,Blue,5,2,4,0.775,91,0.655,Existing Customer
F,0,Married,Blue,6,3,1,0.789,62,0.938,Existing Customer
F,2,Single,Blue,3,3,3,0.53,51,0.545,Attrited Customer
M,2,Single,Blue,4,2,4,0.775,87,0.706,Existing Customer
F,3,Single,Blue,6,3,4,0.729,82,0.608,Existing Customer
M,3,Divorced,Blue,4,3,2,0.882,47,0.621,Existing Customer
M,4,Married,Silver,5,2,2,0.758,57,0.676,Existing Customer
F,2,Married,Blue,3,3,4,0.718,76,0.652,Existing Customer
F,1,Married,Blue,4,2,3,0.858,63,0.909,Existing Customer
F,3,Single,Blue,1,3,4,0.661,46,0.533,Attrited Customer
M,3,Unknown,Blue,6,1,2,0.642,67,0.763,Existing Customer
